Company,Ticker,Sector,Current Close,Open,Previous Close,Price Change (%),Beta,P/E Ratio,Market Cap,52-Week High,52-Week Low,Dividend Yield,Average Volume,RSI Score,Price Change (%)_normalized,Beta_normalized,P/E Ratio_normalized,Market Cap_normalized,Dividend Yield_normalized,RSI Score_normalized,score
John Bean Technologies Corp.,JBT,Industrials,91.5,91.12,90.55,1.049,1.268,21.785715,2913350912.0,123.82,88.03,0.0044,301545.0,45.92119461542046,0.44373863636363636,0.9999429587763716,0.0,0.0008407356005868585,0.0028773035555251084,0.45921194615420463,0.30906842307891297
Nuveen Core Equity Alpha Fund,JCE,Financial Services,14.82,14.88,14.89,-0.47,,5.8809524,238527888.0,15.09,11.64,0.1047,39311.0,58.58859281960654,0.42647727272727276,,0.0,6.883439500345254e-05,0.07159005275056518,0.5858859281960654,0.3611192992594912
Johnson Controls,JCI,Industrials,67.23,67.0,66.79,0.659,1.295,27.218624,45291241472.0,74.23,47.9,0.022,5086493.0,35.98913522030297,0.43930681818181816,0.9999431483754161,0.0,0.013070159573627116,0.01493457559772556,0.3598913522030297,0.29217390940724486
Japan Equity Fund,JEQ,Financial Services,5.95,5.965,5.98,-0.502,0.856,12.934782,82397384.0,6.39,4.99,0.080699995,32568.0,37.07104005384337,0.42611363636363636,0.9999400656353972,0.0,2.3778208786795844e-05,0.05514831472220318,0.3707104005384337,0.29909715976401174
Nuveen Floating Rate,JFR,Financial Services,8.82,8.77,8.74,0.915,0.57,9.692307,1182373888.0,8.87,7.61,0.115600005,523375.0,62.54679730764733,0.4422159090909091,0.9999380572899635,0.0,0.0003412097479700103,0.07905734397478933,0.6254679730764733,0.30709057578910026
John Hancock Investors Trust,JHI,Financial Services,13.285,13.23,13.3,-0.113,0.916,9.225694,116171344.0,13.85,11.63,0.0675,17878.0,60.659233070799964,0.4305340909090909,0.999940486966607,0.0,3.352470797848432e-05,0.046105364115914226,0.6065923307079997,0.3024920240920837
John Hancock Income Securities Trust,JHS,Financial Services,11.01,11.0,11.02,-0.091,0.458,550.5,128229072.0,11.6,9.76,0.04,22513.0,78.48670933821175,0.4307840909090909,0.9999372708050386,0.0,3.7004330628762805e-05,0.027265876549976024,0.7848670933821176,0.2631073436224943
James Hardie Industries Se,JHX,Basic Materials,31.79,31.7,32.22,-1.335,1.081,27.405174,13714652160.0,41.98,24.28,,73726.0,40.982092341801675,0.41664772727272725,0.9999416456274342,0.0,0.003957778253649033,,0.40982092341801674,0.29486295703713394
Jinkosolar Holding Company Limited,JKS,Technology,21.12,21.97,21.75,-2.897,0.361,2.9915016,1075531776.0,46.47,19.93,0.071,871303.0,41.5968334331244,0.39889772727272726,0.9999365896529159,0.0,0.0003103772202401767,0.04850311707885181,0.415968334331244,0.3027663281296607
Jones Lang Lasalle Inc.,JLL,Real Estate,203.73,202.81,202.15,0.782,1.384,32.701443,9689500672.0,213.33,119.46,,267172.0,39.99485787775581,0.4407045454545454,0.9999437733500439,0.0,0.0027961988675120303,,0.39994857877755813,0.29638064012544024
Nuveen Mortgage Opportunity Term Fund,JLS,Financial Services,18.16,18.26,18.11,0.276,,12.18792,99455600.0,18.3,15.48,0.1092,16539.0,62.932275749991,0.4349545454545455,,0.0,2.8700873717282154e-05,0.0746728779886278,0.62932275749991,0.35431607600329706
Japan Smaller Capitalization Fund Inc,JOF,Financial Services,7.55,7.56,7.57,-0.264,0.568,4.575758,213920944.0,8.06,6.64,0.0352,49663.0,24.522978064128623,0.42881818181818177,0.9999380432455899,0.0,6.17333159530266e-05,0.023977529629375903,0.24522978064128623,0.268176558333896
Nuveen Preferred And Convertible,JPC,Financial Services,7.52,7.5,7.48,0.535,0.908,250.66667,2402519552.0,7.55,5.94,0.10609999,792972.0,72.83166693947643,0.43789772727272724,0.9999404307891123,0.0,0.0006933197382678077,0.07254914708501747,0.7283166693947644,0.28460644352387526
Nuveen Preferred And Income Term Fund,JPI,Financial Services,19.55,19.58,19.64,-0.458,,,445200416.0,19.67,16.25,0.070700005,48270.0,56.0761383541997,0.42661363636363636,,,0.00012847601319380435,0.04829759882167568,0.560761383541997,0.11151213611180058
J P Morgan Chase & Co,JPM,Financial Services,205.17,205.04,204.79,0.186,1.112,12.374548,589180502016.0,210.38,135.19,0.0224,9525673.0,31.829317092345775,0.4339318181818182,0.9999418633152258,0.0,0.1700258804384632,0.01520860450777557,0.31829317092345777,0.2987985295258431
Nuveen Preferred And Convertible 2,JQC,Financial Services,5.72,5.67,5.66,1.06,0.584,10.035088,775683392.0,5.73,4.82,0.113299996,526321.0,74.82804842622099,0.4438636363636364,0.9999381556005792,0.0,0.00022384688644795642,0.0774816715763513,0.7482804842622098,0.2824483520459606
Nuveen Real Asset Income And Gr,JRI,Financial Services,12.43,12.39,12.35,0.648,,10.358334,340789600.0,12.49,9.7,0.104399994,99706.0,67.89605904257044,0.43918181818181823,,0.0,9.834510957019804e-05,0.07138452695759402,0.6789605904257044,0.3443718945446077
Nordstrom,JWN,Consumer Cyclical,21.27,21.94,21.83,-2.565,2.627,11.497297,3480814080.0,23.54,12.88,0.0357,2662477.0,39.94154468054274,0.4026704545454546,0.999952501928275,0.0,0.001004494286516047,0.024320065766938414,0.3994154468054274,0.29525286993211547
Kellogg Company,K,Consumer Defensive,56.19,56.62,56.38,-0.337,0.353,23.809322,19210461184.0,64.06573,47.63,0.0399,2491296.0,53.867621963063705,0.4279886363636363,0.9999365334754212,0.0,0.005543760418905645,0.02719736932246352,0.538676219630637,0.3124632480872592
Kadant Inc,KAI,Industrials,299.68,298.85,296.81,0.967,1.238,31.249216,3519112192.0,354.02,196.99,0.0043,84260.0,61.32111047445413,0.44280681818181816,0.9999427481107667,0.0,0.0010155463668066378,0.0028087963280126055,0.6132111047445413,0.294447840869571
Kar Auction Services Inc,KAR,Consumer Cyclical,16.8,16.9,16.75,0.299,1.445,,1819473536.0,18.41,12.86,,765755.0,42.185141882169084,0.43521590909090907,0.9999442017034407,,0.0005250641495343223,,0.42185141882169086,0.04971075637258389
Kb Financial Group Inc,KB,Financial Services,62.11,62.85,63.15,-1.647,0.687,8.415989,23973588992.0,63.31,36.54,0.0398,184644.0,64.34588324698886,0.41310227272727273,0.9999388788858228,0.0,0.006918305225928006,0.02712886209495102,0.6434588324698887,0.28939728946811394
Kb Home,KBH,Consumer Cyclical,66.56,66.67,65.89,1.017,1.799,8.804233,5005564928.0,74.66,42.11,0.015,1277340.0,25.393698392234697,0.443375,0.9999466875575789,0.0,0.0014445073293324158,0.01013906967185038,0.253936983922347,0.2694712426960148
Kbr,KBR,Industrials,63.48,64.18,63.91,-0.673,0.909,,8523840512.0,68.68,49.37,0.0095,1047896.0,36.85558245501842,0.42417045454545454,0.9999404378112994,,0.0024598123197923237,0.006371172158662739,0.3685558245501842,0.03886290497443687
Korea Electric Power Corp.,KEP,Utilities,7.26,7.2,7.2,0.833,0.789,18.615385,9321331712.0,9.55,5.93,,109485.0,56.532262813396045,0.4412840909090909,0.9999395951488794,0.0,0.002689952562043415,,0.5653226281339605,0.3034031237508879
Kirby Corp.,KEX,Industrials,120.37,120.07,120.1,0.225,1.182,28.523699,7017571328.0,124.92,72.11,,500721.0,30.787196765078036,0.434375,0.9999423548683041,0.0,0.002025132720943943,,0.30787196765078034,0.2769389213154201
Keycorp,KEY,Financial Services,14.03,13.82,13.95,0.573,1.25,17.98718,13228325888.0,15.86,9.5,0.0584,13064504.0,37.77398067511537,0.43832954545454544,0.9999428323770087,0.0,0.003817434076746328,0.0398712064122765,0.3777398067511537,0.29965909462084156
Korea Fund,KF,Financial Services,25.89,25.94,25.77,0.466,1.176,7.2318435,126295816.0,25.94,18.3,,9180.0,86.84867789307226,0.43711363636363637,0.9999423127351832,0.0,3.6446431050468556e-05,,0.8684867789307227,0.2418791030379876
Kingsway Financial Services,KFS,Consumer Cyclical,8.14,8.09,8.03,1.37,-0.083,,227281024.0,9.48,6.25,,66050.0,62.15524307364799,0.4473863636363636,0.9999334718019628,,6.558877172193535e-05,,0.6215524307364799,0.042810680095134473
Korn/Ferry International,KFY,Industrials,66.43,66.37,65.96,0.713,1.544,20.566563,3441605376.0,70.78,44.45,0.0182,351922.0,59.65598274594982,0.43992045454545453,0.9999448968999369,0.0,0.0009931794273214738,0.012331300952250464,0.5965598274594982,0.29924719113310716
Kinross Gold Corp.,KGC,Basic Materials,8.58,8.36,8.47,1.299,1.224,23.833332,10549796864.0,8.6,4.32,0.0139999995,16585375.0,71.10470592968886,0.4465795454545454,0.9999426498001509,0.0,0.003044463392605939,0.009453997054189218,0.7110470592968886,0.27697850072888747
Kimco Realty Corp.,KIM,Real Estate,19.26,19.31,19.28,-0.104,1.495,36.339626,12983474176.0,22.84,16.34,0.0498,4128091.0,39.11053273384429,0.43063636363636365,0.9999445528127822,0.0,0.0037467746985421864,0.033979584846201276,0.3911053273384429,0.29999265917095935
Moody's Corp.,MCO,Financial Services,432.5,432.78,432.26,0.056,1.28,47.164665,78978392064.0,434.14,298.86,0.007900001,694993.0,81.17828940030748,0.4324545454545454,0.9999430430426135,0.0,0.02279160728112769,0.005275057203534973,0.8117828940030748,0.25585147088212534
Mfs Charter Income Trust,MCR,Financial Services,6.335,6.32,6.33,0.079,0.685,16.671053,268302448.0,6.7,5.63,0.085200004,59308.0,69.21909470128875,0.4327159090909091,0.999938864841449,0.0,7.742674618089457e-05,0.058231146125916275,0.6921909470128875,0.2881292823767153
Marcus Corp.,MCS,Communication Services,10.64,11.0,10.93,-2.653,1.512,27.282053,342129216.0,16.75,9.56,0.026300002,886321.0,64.47328155032659,0.4016704545454546,0.9999446721899582,0.0,9.873169634477741e-05,0.017880387750907722,0.6447328155032659,0.28489548858198516
Mercury General Corp.,MCY,Financial Services,52.82,53.0,52.6,0.418,0.839,13.578405,2924701440.0,59.89,27.27,0.024,233034.0,26.036032946624644,0.4365681818181818,0.9999399462582211,0.0,0.0008440111392556209,0.016304720147975613,0.26036032946624643,0.2709086436836751
Mednax Inc,MD,Healthcare,6.93,6.87,6.81,1.762,1.563,,583140096.0,15.02,6.7,,1325032.0,35.406850215012554,0.45184090909090907,0.9999450303214866,,0.00016828268613419296,,0.35406850215012553,0.03861216203012621
Medtronic,MDT,Healthcare,76.84,77.43,77.61,-0.992,0.831,27.840578,98529615872.0,91.0,68.84,0.0364,6293145.0,14.244669922246118,0.42054545454545456,0.9999398900807265,0.0,0.028433705129327677,0.024799616359525933,0.14244669922246117,0.24938046280307574
Mdu Res Group Inc,MDU,Industrials,24.58,24.72,24.56,0.081,0.68,10.0737705,5011567104.0,25.99,18.04,0.020299999,1172008.0,40.43347420240123,0.4327386363636364,0.9999388297305148,0.0,0.0014462394390267594,0.013769952044940742,0.40433474202401226,0.2986824752391873
Medifast Inc,MED,Consumer Cyclical,18.51,18.8,18.69,-0.963,1.182,2.9903069,202447568.0,109.52,18.32,0.3566,592539.0,47.77411537699583,0.420875,0.9999423548683041,0.0,5.842232577272385e-05,0.24415975885455915,0.4777411537699583,0.3575230392706504
Media General,MEG,Industrials,39.08,40.76,40.29,-3.003,1.883,,1331893376.0,49.97,21.96,,322591.0,27.597093448006746,0.3976931818181818,0.9999472774212727,,0.00038435812526819134,,0.27597093448006743,0.014891872239140312
Methode Electronics,MEI,Technology,9.83,9.76,9.57,2.717,0.713,,347888608.0,34.04,8.54,0.056999996,638700.0,46.94535810660372,0.4626931818181818,0.9999390614626803,,0.0001003937433618467,0.03891210248681236,0.4694535810660372,0.07109324721136533
Metlife,MET,Financial Services,69.41,69.66,69.5,-0.129,1.047,24.017302,49359048704.0,74.68,57.7,0.031400003,3075229.0,20.39124537637882,0.4303522727272728,0.9999414068730819,0.0,0.01424404856676362,0.02137425703911763,0.2039124537637882,0.2610404472390403
Mfa Financial Inc,MFA,Real Estate,10.59,10.58,10.56,0.284,2.188,,1081048448.0,11.9,8.41,0.1322,590585.0,27.165815000873053,0.4350454545454545,0.9999494191882561,,0.0003119692230491103,0.0904295403165034,0.2716581500087305,0.03771061125034426
Manulife Financial Corp,MFC,Financial Services,26.99,26.74,26.64,1.314,1.08,15.783626,48346107904.0,27.08,17.07,0.0432,2632500.0,40.38727644331614,0.44675,0.9999416386052472,0.0,0.013951733816333753,0.029458107830376105,0.4038727644331614,0.30507968397381613
Macquarie/First Trust Global,MFD,Financial Services,7.65,7.63,7.62,0.394,0.93,54.642857,65387916.0,8.18,6.63,0.1046,18821.0,23.65497427703825,0.43629545454545454,0.9999405852772226,0.0,1.8869611568315956e-05,0.07152154552305268,0.2365497427703825,0.2770664042739398
Mizuho Financial Group,MFG,Financial Services,4.33,4.32,4.4,-1.591,0.454,13.121211,54872358912.0,4.4,3.09,0.0319,859216.0,52.98749471094815,0.41373863636363634,0.9999372427162911,0.0,0.015835081228784888,0.021716791121463314,0.5298749471094815,0.3120189481081912
Mfs Muni Income Trust,MFM,Financial Services,5.34,5.37,5.37,-0.559,0.55,31.411766,219941792.0,5.48,4.37,0.0429,74111.0,57.33183876616199,0.42546590909090914,0.9999379168462268,0.0,6.347081401855635e-05,0.0292525861478386,0.5733183876616199,0.3050192814576592
Pioneer Muni High Income Trust,MHI,Financial Services,9.14,9.16,9.18,-0.436,0.666,228.50002,208130608.0,9.25,6.93,0.046,47939.0,53.84506820866913,0.4268636363636364,0.9999387314198993,0.0,6.006233910744484e-05,0.031376310200726176,0.5384506820866913,0.3126268041692732
Mohawk Industries,MHK,Consumer Cyclical,111.85,110.3,108.83,2.775,1.384,,7143087616.0,131.19,76.02,,649880.0,26.789340567534182,0.4633522727272727,0.9999437733500439,,0.0020613542478106687,,0.2678934056753418,0.02329328013393593
Blackrock Muniholdings New York Quality,MHN,Financial Services,10.78,10.78,10.79,-0.093,0.564,34.774193,326004448.0,10.87,8.69,0.0484,41693.0,67.05108092418354,0.4307613636363636,0.9999380151568427,0.0,9.407840610939595e-05,0.03302048366102624,0.6705108092418354,0.2871317457542194
M/I Homes,MHO,Consumer Cyclical,119.17,117.6,116.02,2.715,2.23,6.8685875,3307170048.0,140.73,74.79,,247162.0,29.76236851571207,0.4626704545454546,0.999949714120103,0.0,0.0009543840412996282,,0.2976236851571207,0.27902577220536195
Mfs Intermediate Income Trust,MIN,Financial Services,2.705,2.7,2.7,0.185,0.293,135.25,308402464.0,2.85,2.52,0.09,219962.0,84.51930423249186,0.4339204545454546,0.9999361121442113,0.0,8.899882045144783e-05,0.061519490306227304,0.8451930423249187,0.25836864644570395
Ag Mortgage Investment Trust,MITT,Real Estate,6.69,6.7,6.68,0.15,2.076,3.6162162,197179056.0,6.99,4.82,0.070300005,250547.0,37.55814835869152,0.4335227272727273,0.999948632703331,0.0,5.6901937048706854e-05,0.04802356991162567,0.3755814835869152,0.29976024671398904
Blackrock Muniyield Michigan Quality,MIY,Financial Services,11.511,11.48,11.51,0.009,0.42,25.58,333413792.0,11.7,9.45,0.048499998,48050.0,78.12343821455427,0.4319204545454545,0.999937003961939,0.0,9.621659675410986e-05,0.033088989518394195,0.7812343821455427,0.26517491091987
Mccormick & Company Inc.,MKC,Consumer Defensive,69.44,70.68,70.46,-1.448,0.746,25.343067,18652209152.0,90.45,59.13,0.0242,1825273.0,67.02432791817995,0.4153636363636364,0.9999392931948459,0.0,0.005382659885280141,0.016441734603000618,0.6702432791817995,0.2820885732078291
Markel Corp.,MKL,Financial Services,1550.81,1547.42,1535.69,0.985,0.729,8.375061,20164562944.0,1670.24,1295.65,,41314.0,22.996708830573766,0.4430113636363636,0.9999391738176696,0.0,0.005819095382073381,,0.22996708830573767,0.26303311436304244
Mueller Industries,MLI,Industrials,56.5,57.15,56.65,-0.265,1.064,11.36821,6418230272.0,60.31,34.96,0.014199999,684860.0,36.85490733837949,0.42880681818181815,0.9999415262502581,0.0,0.0018521747048318338,0.009591011166678085,0.3685490733837949,0.2901401044828247
Martin Marietta Materials,MLM,Basic Materials,529.98,538.96,536.74,-1.259,0.912,15.578483,32668071936.0,626.67,389.9,0.0056,446729.0,26.06836241418479,0.41751136363636365,0.9999404588778598,0.0,0.0094273616405695,0.003699390285675139,0.2606836241418479,0.2664519977072301
Maui Land & Pineapple Company,MLP,Real Estate,21.52,21.32,21.29,1.08,0.47,,423722368.0,23.49,11.58,,18754.0,61.130882572118956,0.4440909090909091,0.9999373550712805,,0.00012227787186033185,,0.6113088257211896,0.044370363499456424
Miller Industries,MLR,Consumer Cyclical,54.57,53.72,53.35,2.287,0.978,9.523561,625917888.0,61.87,34.01,0.0139,73403.0,31.13141869121334,0.4578068181818182,0.9999409223421906,0.0,0.00018062751378100184,0.009385490169212852,0.3113141869121334,0.28283492866070103
Marsh & Mclennan Companies,MMC,Financial Services,214.26,214.46,213.92,0.159,0.932,27.190353,105571041280.0,216.89,184.02,0.013300001,1682547.0,65.36945184917583,0.433625,0.9999405993215963,0.0,0.030465721719843172,0.008974447489210112,0.6536945184917583,0.28915224803931505
Mainstay Defined Muni Opp Fund,MMD,Financial Services,16.49,16.47,16.47,0.121,0.526,23.225353,460512928.0,17.19,14.3,0.0437,53581.0,72.0458256699326,0.43319318181818184,0.999937748313743,0.0,0.00013289490235665998,0.02980064396793862,0.720458256699326,0.27686696938531113
3M Company,MMM,Industrials,101.1,101.51,101.32,-0.217,1.001,,55944798208.0,106.04,71.36288,0.0277,4556322.0,61.475668885422024,0.4293522727272727,0.9999410838524876,,0.016144566072481006,0.018839487565938208,0.6147566888542202,0.04683974887343384
Maximus,MMS,Industrials,84.71,86.03,85.32,-0.715,0.748,22.233597,5149944320.0,90.65,72.39,0.014199999,316539.0,48.82613219205116,0.4236931818181818,0.9999393072392194,0.0,0.0014861723762331783,0.009591011166678085,0.48826132192051164,0.31327913040386657
Mfs Multimarket Income Trust,MMT,Financial Services,4.705,4.73,4.75,-0.947,0.684,13.838235,260766144.0,4.75,4.04,0.084300004,73031.0,52.16421487986305,0.42105681818181817,0.9999388578192623,0.0,7.525191738248542e-05,0.05761458107830376,0.5216421487986306,0.32036664859301933
Western Asset Managed Municipals Fund,MMU,Financial Services,10.34,10.32,10.34,0.0,0.468,23.5,566299072.0,10.45,8.6,0.063200004,135303.0,71.11899567989617,0.4318181818181818,0.9999373410269067,0.0,0.00016342269853418377,0.04315955607316572,0.7111899567989617,0.2811892552947308
Monmouth Real Estate Investment Corp.,MNR,Energy,19.74,19.84,19.72,0.101,,,1875299968.0,21.19,14.4,0.152,121580.0,52.798122155603814,0.4329659090909091,,,0.0005411745575043339,0.1039939713639789,0.5279812215560381,0.13020155378097495
Altria Group,MO,Consumer Defensive,46.02,46.1,46.1,-0.174,0.69,9.627615,79045328896.0,47.19,39.07,0.085200004,10246490.0,45.462507325383015,0.4298409090909091,0.9999388999523833,0.0,0.02281092393155844,0.058231146125916275,0.45462507325383017,0.3193345826375032
Modine Manufacturing Company,MOD,Consumer Cyclical,105.69,107.85,106.86,-1.095,2.275,34.881187,5537595904.0,110.0,32.46,,864049.0,57.436263374770654,0.419375,0.9999500301185104,0.0,0.0015980409829974651,,0.5743626337477066,0.2981985243369074
Molina Healthcare Inc,MOH,Healthcare,292.78,293.24,293.19,-0.14,0.579,15.89468,17152164864.0,423.92,288.79,,490404.0,56.5736404190055,0.43022727272727274,0.9999381204896449,0.0,0.004949776668728427,,0.565736404190055,0.3018879756889883
Mosaic Company,MOS,Basic Materials,27.06,27.23,27.18,-0.442,1.416,11.466102,8696894464.0,42.81,26.67,0.031,4415070.0,23.729393344550004,0.42679545454545453,0.9999439980600225,0.0,0.002509752279550862,0.021100226073850793,0.23729393344550004,0.26595472550764115
Movado Group Inc.,MOV,Consumer Cyclical,24.68,24.51,24.26,1.731,1.066,13.78771,548137856.0,31.44,23.93,0.056700002,137822.0,49.90755172311012,0.4514886363636364,0.9999415402946317,0.0,0.00015818172954315993,0.038706584914708506,0.49907551723110116,0.32530138002719855
Nuveen Massachusetts Premium Fund,NMT,Financial Services,11.11,11.18,11.13,-0.18,0.426,38.310345,103596528.0,11.24,9.05,0.0767,12450.0,72.57881205363141,0.42977272727272725,0.9999370460950598,0.0,2.9895863922897374e-05,0.052408029047064465,0.7257881205363141,0.27979917576994545
Nelnet,NNI,Financial Services,101.83,102.69,101.84,-0.01,0.904,27.44744,3703251712.0,110.7,81.67,0.011,88796.0,41.4174839204862,0.43170454545454545,0.9999404027003651,0.0,0.0010686854030001402,0.007398780571350277,0.414174839204862,0.29918323404368774
National Retail Properties,NNN,Real Estate,42.43,42.42,42.34,0.213,1.055,19.463303,7779497984.0,44.87,34.38,0.0533,970155.0,52.3380770682474,0.43423863636363635,0.9999414630505765,0.0,0.0022450097367522725,0.03637733780913886,0.523380770682474,0.31796546354849603
Nuveen New York Muni Value Fund,NNY,Financial Services,8.33,8.31,8.32,0.12,0.322,16.333334,157321216.0,8.66,7.58,0.0405,38214.0,69.44249861348517,0.43318181818181817,0.9999363157876293,0.0,4.53997499986112e-05,0.027608412687538535,0.6944249861348517,0.28162486643404705
North American Energy Partners,NOA,Energy,19.95,19.94,19.92,0.151,1.633,15.465117,533249568.0,26.3,18.3,0.0147,65562.0,37.16663913597698,0.43353409090909095,0.9999455218745649,0.0,0.00015388526306550596,0.009933547989312872,0.3716663913597698,0.29137093784503026
Noah Holdings Ltd,NOAH,Financial Services,8.15,8.23,8.23,-0.972,0.756,4.5786514,536203968.0,15.83,7.14,0.1304,235690.0,26.918991446456616,0.42077272727272724,0.9999393634167141,0.0,0.00015473784467606998,0.08919641022127833,0.26918991446456614,0.28481471147087417
Northrop Grumman Corp.,NOC,Industrials,430.25,435.15,434.73,-1.031,0.321,29.94085,63737233408.0,496.89,414.56,0.019199999,977449.0,25.252445461032806,0.42010227272727274,0.9999363087654426,0.0,0.018393309287019214,0.013016372542303213,0.2525244546103281,0.2679692063917748
Nokia Corp.,NOK,Technology,3.89,3.915,3.9,-0.256,0.731,24.312502,21687996416.0,4.36,2.94,0.0363,13424378.0,45.65354435529592,0.4289090909090909,0.9999391878620433,0.0,0.006258728256140832,0.02473110913201343,0.4565354435529592,0.31122162821276794
National-Oilwell,NOV,Energy,18.01,17.96,18.02,-0.055,1.714,7.262097,7123603456.0,21.91,16.77,0.0125,2931962.0,61.11415427391532,0.43119318181818184,0.9999460906716983,0.0,0.0020557315032556705,0.008426388984037816,0.6111415427391532,0.2943469106048599
Servicenow Inc.,NOW,Technology,766.2,763.5,806.47,-4.993,0.993,81.946526,157363683328.0,815.32,527.24,,1371054.0,60.00825625483961,0.3750795454545454,0.9999410276749929,0.0,0.04541205741326623,,0.6000825625483961,0.2907925222823299
National Presto Industries,NPK,Industrials,70.81,70.67,70.4,0.582,0.628,15.631346,502583168.0,86.08,69.58,0.014099999,48052.0,28.504781115347626,0.4384318181818182,0.9999384645767997,0.0,0.0001450355444416906,0.009522503939165582,0.28504781115347627,0.27469949284256523
Enpro Industries,NPO,Industrials,144.85,145.17,143.4,1.011,1.432,,3034911744.0,170.64,106.08,0.0083,105303.0,37.04538215061013,0.4433068181818182,0.9999441104150119,,0.0008758156608116287,0.0055490854285127076,0.3704538215061013,0.04178977463877549
Nuveen Virginia Premium Fund,NPV,Financial Services,11.44,11.44,11.47,-0.262,0.634,31.777775,205058560.0,11.64,8.92,0.075500004,36355.0,79.91681688985757,0.4288409090909091,0.9999385067099207,0.0,5.9175806602851705e-05,0.05158594505720353,0.7991681688985757,0.2648217585050301
Nuveen Pennsylvania Investment,NQP,Financial Services,12.29,12.3,12.29,0.0,0.467,13.965909,457406752.0,12.31,9.65,0.0767,44421.0,87.19678600740664,0.4318181818181818,0.99993733400472,0.0,0.00013199852118390908,0.052408029047064465,0.8719678600740665,0.25088022751897326
Newpark Resources,NR,Energy,7.53,7.55,7.6,-0.921,2.897,41.833332,641568768.0,8.65,4.99,,662432.0,43.389617540468706,0.4213522727272727,0.9999543979187193,0.0,0.000185144049279629,,0.43389617540468706,0.30000515060308436
Nrg Energy,NRG,Utilities,78.57,77.66,77.16,1.827,1.064,11.208274,16379959296.0,87.58,35.98,0.0207,3666524.0,60.36375736233548,0.45257954545454543,0.9999415262502581,0.0,0.004726933361508032,0.014043981640063027,0.6036375736233548,0.3004467541326485
Natural Resource Partners Lp,NRP,Energy,94.56,95.4,95.59,-1.078,0.482,7.0200443,1225507072.0,102.0,52.33,0.0317,26895.0,62.482975552757175,0.4195681818181818,0.9999374393375223,0.0,0.00035365713474345793,0.02157977666643831,0.6248297555275717,0.2923268532802227
North European Oil Royality Trust,NRT,Energy,6.34,6.57,6.54,-3.058,0.841,13.489362,58268344.0,16.36,4.77,0.2382,67613.0,49.069222972162684,0.3970681818181818,0.9999399603025946,0.0,1.6815043411571295e-05,0.1630472014797561,0.49069222972162685,0.3403157989870855
Norfolk Souther Corp.,NSC,Industrials,214.25,213.14,215.86,-0.746,1.319,34.500805,48402075648.0,263.66,183.09,0.0252,1319608.0,35.52751535234344,0.42334090909090905,0.9999433169078998,0.0,0.013967885004161792,0.017126806878125643,0.3552751535234344,0.28938398525357456
Insperity Inc,NSP,Industrials,88.99,89.77,89.06,-0.079,1.146,21.704878,3350962944.0,123.21,88.37,0.027,228378.0,44.97582419550587,0.4309204545454545,0.9999421020695782,0.0,0.0009670218079537515,0.01835993697335069,0.4497582419550587,0.3083641959413376
Tortoise MLP Fund,NTG,Financial Services,43.13,43.47,43.56,-0.987,,28.94631,219652896.0,43.95,31.54,0.089499995,13426.0,59.083174698657494,0.4206022727272727,,0.0,6.338744432692167e-05,0.06117695074330341,0.5908317469865749,0.35716572040486927
Natuzzi S.P.A.,NTZ,Consumer Cyclical,4.72,4.78,4.7007,0.411,1.357,,51988908.0,7.6,4.7,,6462.0,28.679327986636096,0.4364886363636364,0.9999435837509995,,1.5002921945854525e-05,,0.28679327986636094,0.022839093344912284
Northeast Utilities,NU,Financial Services,12.84,12.8,12.82,0.156,1.143,49.384617,61389193216.0,13.01,6.61,,25638462.0,51.24729590428844,0.4335909090909091,0.9999420810030177,0.0,0.017715711166059158,,0.5124729590428845,0.31432140757136356
Nucor Corp.,NUE,Basic Materials,152.47,153.75,153.84,-0.891,1.585,8.958284,36556513280.0,203.0,140.07,0.014199999,1513685.0,27.36078819932412,0.42169318181818183,0.9999451848095969,0.0,0.010549489173622303,0.009591011166678085,0.2736078819932412,0.2709541863411137
Nu Skin Enterprises,NUS,Consumer Defensive,10.8,11.08,10.99,-1.729,1.128,,536407936.0,30.43,10.31,0.0222,764980.0,29.244295385256464,0.41217045454545453,0.9999419756702151,,0.00015479670582078413,0.015071590052750567,0.29244295385256464,0.023349759066441787
Prologis Inc,PLD,Real Estate,114.41,114.63,114.46,-0.044,1.073,33.453217,105925812224.0,137.52,96.64,0.0336,4312250.0,71.75083898674768,0.4313181818181819,0.9999415894499395,0.0,0.030568101621960976,0.02288141398917586,0.7175083898674768,0.27883498331426926
Pall Corp.,PLL,Basic Materials,10.39,10.3,10.3,0.874,0.557,,201248080.0,63.17,8.94,,697824.0,30.82350285042736,0.44175000000000003,0.9999379660015347,,5.80761771771064e-05,,0.3082350285042736,0.02792151671841895
Douglas Dynamics,PLOW,Consumer Cyclical,21.8,21.88,21.64,0.739,1.186,18.319326,503449184.0,35.39,21.35,0.0541,213250.0,18.3770975355025,0.4402159090909091,0.9999423829570513,0.0,0.00014528545959063935,0.03692539562923889,0.183770975355025,0.2601919508107431
Philip Morris International Inc,PM,Consumer Defensive,102.59,102.07,102.12,0.46,0.6,20.03711,159482298368.0,104.9,87.23,0.0507,5442004.0,57.79646553189073,0.43704545454545457,0.9999382679555685,0.0,0.04602344795718998,0.0345961498938138,0.5779646553189073,0.3114916350969616
