Company,Ticker,Sector,Current Close,Open,Previous Close,Price Change (%),Beta,P/E Ratio,Market Cap,52-Week High,52-Week Low,Dividend Yield,Average Volume,RSI Score
John Hancock Investors Trust,JHI,Financial Services,13.3497,13.3,13.32,0.223,0.916,9.270624,116737120.0,13.85,11.63,0.0673,17713.0,75.39768084393323
John Hancock Income Securities Trust,JHS,Financial Services,11.0506,11.0396,11.0,0.46,0.458,552.53,128701920.0,11.6,9.76,0.04,22491.0,72.20756189817027
James Hardie Industries Se,JHX,Basic Materials,31.39,31.12,31.27,0.384,1.081,27.060345,13639175168.0,41.98,24.28,,73365.0,76.2395325088854
Jinkosolar Holding Company Limited,JKS,Technology,22.05,21.75,21.67,1.754,0.361,3.1232293,1122891776.0,46.47,19.93,0.0692,855050.0,45.54149705499748
Jones Lang Lasalle Inc.,JLL,Real Estate,207.59,207.05,206.04,0.752,1.384,33.3746,9873084416.0,213.33,119.46,,262473.0,78.38807522427196
Nuveen Mortgage Opportunity Term Fund,JLS,Financial Services,18.19,18.22,18.13,0.331,,12.208054,99619904.0,18.45,15.48,0.1092,16968.0,68.33748586652138
Johnson & Johnson,JNJ,Healthcare,149.41,147.26,147.05,1.605,0.517,22.200594,359582072832.0,175.97,143.13,0.0337,7567157.0,43.93892069850139
Juniper Networks,JNPR,Technology,36.93,36.92,36.92,0.027,0.946,53.52174,12001807360.0,38.04,24.87,0.0238,2413581.0,78.59411653366479
St. Joe Company,JOE,Real Estate,53.91,53.04,52.59,2.51,1.271,38.784172,3148209152.0,65.99,45.93,0.0091,173775.0,70.42613060211063
Japan Smaller Capitalization Fund Inc,JOF,Financial Services,7.68,7.59,7.57,1.453,0.568,4.6545453,217604352.0,8.06,6.64,0.035099998,48773.0,63.839449375735
Nuveen Preferred And Convertible,JPC,Financial Services,7.548,7.55,7.52,0.372,0.908,251.6,2411465216.0,7.57,5.94,0.10609999,796586.0,86.02779278170512
Nuveen Preferred And Income Term Fund,JPI,Financial Services,19.645,19.59,19.58,0.332,,,447363808.0,19.69,16.25,0.070700005,49157.0,75.21137530827684
J P Morgan Chase & Co,JPM,Financial Services,207.73,206.14,207.63,0.048,1.112,12.536511,596532002816.0,210.38,135.19,0.0222,9548273.0,46.64555588615201
Nuveen Preferred And Convertible 2,JQC,Financial Services,5.6401,5.66,5.67,-0.527,0.584,9.894913,764848256.0,5.75,4.82,0.114300005,529006.0,58.81671749254025
Nuveen Real Asset Income And Gr,JRI,Financial Services,12.3,12.24,12.21,0.737,,10.25,337225408.0,12.49,9.7,0.104399994,101213.0,51.78634279859066
Nordstrom,JWN,Consumer Cyclical,21.91,22.19,22.02,-0.5,2.627,11.843243,3585549312.0,23.54,12.88,0.0345,2637837.0,73.06035229459422
Kellogg Company,K,Consumer Defensive,56.88,56.46,56.37,0.905,0.353,24.101696,19446362112.0,64.06573,47.63,0.0397,2485075.0,21.6540415951236
Kadant Inc,KAI,Industrials,306.528,302.52,301.59,1.637,1.238,31.963297,3599527936.0,354.02,196.99,0.0042,83673.0,90.42754659852793
Kar Auction Services Inc,KAR,Consumer Cyclical,16.84,16.7,16.65,1.141,1.445,,1823805696.0,18.41,12.86,,759736.0,72.90535412961545
Kb Financial Group Inc,KB,Financial Services,60.935,60.64,61.28,-0.563,0.687,8.23446,23274366976.0,63.31,36.57,0.0403,183716.0,73.76148794750326
Kb Home,KBH,Consumer Cyclical,66.9,65.81,65.35,2.372,1.799,8.849207,5031134208.0,74.66,42.11,0.0153,1278588.0,64.16276068956347
Kbr,KBR,Industrials,63.785,62.68,62.54,1.991,0.909,,8564794880.0,68.68,49.37,0.0095999995,1037427.0,63.68276859683203
Korea Electric Power Corp.,KEP,Utilities,7.25,7.25,7.28,-0.412,0.789,18.589745,9308492800.0,9.55,5.93,,106239.0,50.49836121430345
Kirby Corp.,KEX,Industrials,119.43,119.27,118.62,0.683,1.182,28.234043,6962768896.0,124.92,72.11,,500329.0,71.54083061433062
Keycorp,KEY,Financial Services,14.67,14.37,14.29,2.659,1.25,18.807693,13831756800.0,15.86,9.5,0.0574,12955580.0,79.1053041717017
Korea Fund,KF,Financial Services,25.87,25.79,25.78,0.349,1.176,7.2262573,126198264.0,25.97,18.3,,8655.0,89.29731929022016
Kingsway Financial Services,KFS,Consumer Cyclical,8.1113,8.05,8.04,0.887,-0.083,,226479680.0,9.48,6.25,,66081.0,53.14455575843554
Korn/Ferry International,KFY,Industrials,64.16,64.9,64.65,-0.758,1.544,19.863777,3324001536.0,70.78,44.45,0.0187,358218.0,50.581027976212305
Kinross Gold Corp.,KGC,Basic Materials,8.95,8.66,8.59,4.191,1.224,24.861109,11009842176.0,8.97,4.32,0.0139999995,16551778.0,78.973997981816
Kimco Realty Corp.,KIM,Real Estate,19.71,19.33,19.24,2.443,1.495,37.18868,13286824960.0,22.84,16.34,0.0499,4120786.0,81.65081625410744
Kkr Income Opportunities Fund,KIO,Financial Services,14.059,13.93,13.89,1.217,,5.7855964,381285696.0,14.059,11.02,0.1296,110034.0,82.59832193908521
Kkr,KKR,Financial Services,109.44,106.64,105.58,3.656,1.622,24.483223,100900397056.0,113.91,53.72,0.0066000004,6940460.0,70.25328134357727
Kimberly-Clark Corp.,KMB,Consumer Defensive,140.75,139.83,139.43,0.947,0.388,25.82569,47391789056.0,142.2,116.32,0.035,2170496.0,55.77234162431733
Kinder Morgan,KMI,Energy,20.095,20.0,19.99,0.525,0.919,18.43578,44598439936.0,20.19,15.89,0.0575,13256781.0,68.84363388420152
Unitrin,KMPR,Financial Services,60.13,60.56,60.3,-0.282,0.884,,3870892800.0,64.69,38.32,0.020599999,349059.0,66.34881302092387
Kennametal Inc.,KMT,Industrials,22.805,22.53,22.54,1.176,1.662,16.892593,1793975936.0,30.6,22.08,0.0355,664224.0,50.629849714453194
Carmax Inc,KMX,Consumer Cyclical,76.9001,73.0,72.26,6.421,1.693,30.156902,12002491392.0,88.22,59.66,,2290168.0,76.59131159879605
Knot Offshore Partners Lp Commo,KNOP,Industrials,7.84,7.83,7.79,0.642,0.712,,273912352.0,9.11,4.86,0.0134000005,130832.0,54.33975081975951
Knight Transportation,KNX,Industrials,49.08,48.25,47.99,2.271,0.94,72.176476,7931868672.0,60.99,45.55,0.013300001,2262785.0,48.75912999048228
Coca-Cola Company,KO,Consumer Defensive,62.8194,62.72,62.69,0.206,0.592,25.228676,270623457280.0,64.36,51.55,0.0309,11944681.0,26.278903423264694
Coca Cola Femsa S.A.B. De C.V.,KOF,Consumer Defensive,85.2,83.26,83.15,2.465,0.866,91.6129,17899071488.0,104.38,69.33,0.0208,155003.0,35.87485744176229
Koppers Holdings Inc.,KOP,Basic Materials,34.74,34.68,34.43,0.9,1.848,9.81356,736494976.0,58.23,34.31,0.0081,164404.0,18.251757240651358
Kosmos Energy Ltd.,KOS,Energy,5.555,5.48,5.46,1.74,2.428,12.076086,2619454464.0,8.28,5.07,,5747660.0,54.46288963822721
Kroger Company,KR,Consumer Defensive,52.99,52.33,51.86,2.179,0.444,18.085325,38247706624.0,58.34,42.1,0.0247,5563329.0,39.36069914823626
Kilroy Realty Corp.,KRC,Real Estate,32.3,32.27,32.07,0.717,1.05,18.563217,3828163584.0,43.37,26.78,0.0674,960191.0,74.49080594798049
Kite Realty Group Trust,KRG,Real Estate,22.185,21.89,21.76,1.953,1.324,85.32693,4955263488.0,24.26,19.64,0.046,1517788.0,58.39800675425863
Kronos Worldwide Inc,KRO,Basic Materials,12.47,12.43,12.32,1.218,1.164,,1434386688.0,14.5,6.16,0.0617,190421.0,64.66830898470641
Scudder Strategic Municiple Income Trust,KSM,Financial Services,9.88,9.89,9.88,0.0,0.573,27.444443,109153256.0,9.99,7.25,0.031600002,21218.0,68.58623319514119
Kohl's Corp.,KSS,Consumer Cyclical,21.99,22.55,22.39,-1.787,1.978,8.866936,2445420032.0,29.65,17.68,0.08930001,5973431.0,37.894861575055124
Korea Telecom Corp.,KT,Communication Services,13.25,13.21,13.14,0.837,0.404,8.43949,6514388992.0,15.35,11.4,0.0277,624614.0,43.27014879583666
Scudder Municiple Income Trust,KTF,Financial Services,9.58,9.58,9.55,0.314,0.444,24.564104,375275424.0,9.68,7.4,0.0766,105809.0,68.59483473614124
Kennedy-Wilson Holdings Inc.,KW,Real Estate,9.6,9.36,9.34,2.784,1.122,,1320268800.0,17.43,7.85,0.0514,970298.0,63.50098866210733
Quaker Chemical Corp.,KWR,Basic Materials,167.058,165.36,166.18,0.528,1.393,25.466158,3005356800.0,221.94,138.67,0.011,97349.0,57.43745523825126
Kayne Anderson MLP Investment Company,KYN,Financial Services,10.515,10.55,10.53,-0.142,1.64,14.80986,1778359936.0,11.1,7.87,0.0836,463381.0,73.39714617944523
Loews Corp.,L,Financial Services,75.67,74.7,74.66,1.353,0.836,11.243685,16753792000.0,78.55,59.37,0.0033000002,755760.0,66.03216673883591
Lithia Motors,LAD,Consumer Cyclical,244.845,244.6,243.05,0.739,1.633,7.22683,6710344704.0,331.96,231.36,0.0087,282162.0,67.83586579694506
Lazard Ltd,LAZ,Financial Services,39.9,39.45,39.91,-0.025,1.393,,3599159552.0,42.24,25.82,0.050100002,874726.0,73.78987714471657
Lear Corp.,LEA,Consumer Cyclical,115.525,114.38,114.16,1.196,1.475,12.598146,6560410624.0,157.91,112.26,0.027,783891.0,72.37193586331777
Lee Enterprises Inc.,LEE,Communication Services,10.83,10.8001,10.97,-1.276,1.255,,66529988.0,15.89,7.56,,12506.0,50.96580758154518
Leggett & Platt Inc.,LEG,Consumer Cyclical,11.255,10.63,10.67,5.483,1.1,,1508575232.0,31.14,10.11,0.0187,3882036.0,43.547051221175884
Lennar Corp.,LEN,Consumer Cyclical,145.69,142.63,142.5,2.239,1.595,9.937926,39740297216.0,172.59,102.9,0.0139999995,2088985.0,63.41054785573257
Dreyfus Strategic Municipals,LEO,Financial Services,6.16,6.15,6.14,0.326,0.572,19.25,383711936.0,6.22,4.98,0.037100002,186463.0,71.65282310912542
Lazard Global Total Return And,LGI,Financial Services,16.905,16.87,16.86,0.267,1.139,5.5608554,219983088.0,17.06,12.66,0.0744,39518.0,76.332696806369
Laboratory Corporation Of America,LH,Healthcare,200.355,199.68,199.35,0.504,1.033,42.810898,16888643584.0,234.09,191.97,0.014400001,726822.0,38.30235655614691
Lennox International,LII,Industrials,544.59,538.72,535.61,1.677,1.076,31.570436,19400747008.0,553.48,328.08,0.0086,308580.0,81.1723410475418
Lin Media Llc,LIN,Basic Materials,434.95,433.11,431.2,0.87,0.944,33.743214,209087430656.0,477.71,361.02,0.0128999995,1730400.0,41.47623161371067
Lightinthebox Holding Co. Ltd,LITB,Consumer Cyclical,0.7688,0.85,0.8249,-6.801,0.949,,85465960.0,1.47,0.43,,98813.0,28.542047503888185
Lumber Liquidators Holdings Inc,LL,Consumer Cyclical,0.7,0.56,0.56,25.0,1.73,,21459060.0,4.85,0.53,,394957.0,32.555936233694396
Eli Lilly And Company,LLY,Healthcare,940.07,936.57,932.5,0.812,0.409,138.04259,846443708416.0,945.45,434.34,0.0056,2716795.0,78.08044023374961
Lockheed Martin Corp.,LMT,Industrials,461.205,460.37,460.3,0.197,0.455,16.869238,109738188800.0,479.5,393.77,0.0274,985270.0,22.895238921066962
Lincoln National Corp.,LNC,Financial Services,31.49,30.49,30.34,3.79,1.834,4.2669377,5354150400.0,33.33,20.85,0.0585,1565985.0,66.01064307614628
Brasilagro Brazi ADR,LND,Consumer Defensive,4.8885,4.93,4.91,-0.438,0.449,11.110228,489021120.0,6.0,4.54,0.1333,38698.0,67.53696383013059
Lindsay Corp.,LNN,Industrials,112.1,110.23,109.3,2.562,0.614,17.036474,1220331776.0,137.31,106.46,0.013200001,122322.0,45.69802088859662
Alliant Energy Corp.,LNT,Utilities,52.0,51.98,51.67,0.639,0.555,18.90909,13331707904.0,56.26,45.15,0.0372,1501573.0,51.510947471733346
Lowe's Companies,LOW,Consumer Cyclical,220.719,217.57,216.33,2.029,1.067,17.685818,125773406208.0,262.49,181.85,0.021300001,2486103.0,75.21415653676289
Lg Display Co. Limited American,LPL,Technology,4.695,4.65,4.64,1.185,1.088,,4695000064.0,6.08,3.45,,371626.0,84.93667437544975
Louisiana-Pacific Corp.,LPX,Industrials,80.89,80.36,80.06,1.037,1.889,22.161644,5797531648.0,95.7,49.47,0.012999999,1044680.0,50.57803376840045
Lrr Energy L.P.,LRE,Real Estate,1.49,1.76,1.68,-11.31,,7.095238,20326432.0,13.76,1.47,,104096.0,31.450498417222292
K12 Inc,LRN,Consumer Defensive,66.18,66.48,66.34,-0.241,0.287,15.498829,2862609408.0,73.33,36.35,,656278.0,62.91635234282936
Ltc Properties,LTC,Real Estate,34.545,34.16,34.07,1.394,0.892,17.992188,1501857664.0,35.72,30.3,0.0669,252490.0,66.34355319180622
Southwest Airlines Company,LUV,Industrials,27.625,27.73,27.47,0.564,1.148,43.164062,16532346880.0,39.53,21.91,0.026199998,9994916.0,59.12210950534475
Las Vegas Sands,LVS,Consumer Cyclical,41.41,41.64,41.62,-0.505,1.125,20.004831,30852395008.0,61.25,41.175,0.019199999,6528860.0,35.53303125605399
Luxfer Holdings Plc,LXFR,Industrials,11.73,11.65,11.58,1.295,0.936,,321570912.0,14.24,7.55,0.044899996,123203.0,63.39953444077202
Lexington Realty Trust,LXP,Real Estate,9.465,9.25,9.23,2.546,0.878,236.62502,2793509632.0,10.75,7.75,0.0563,2378003.0,82.45210604043496
Lsb Industries Inc.,LXU,Basic Materials,7.56,7.5,7.49,0.935,0.86,31.5,540870336.0,11.69,6.74,,357337.0,25.32494920162368
Lyondellbasell Industries Nv,LYB,Basic Materials,92.85,93.54,93.2,-0.376,1.098,14.328704,30234003456.0,107.02,88.46,0.0575,1663414.0,30.576309586537334
Lloyds Banking Group Plc,LYG,Financial Services,2.955,2.94,2.94,0.51,1.249,8.208333,47366578176.0,3.02,1.88,0.047399998,9367177.0,78.94052924856373
Live Nation Entertainment,LYV,Communication Services,94.44,95.14,95.12,-0.715,1.343,86.642204,21857478656.0,107.24,76.48,,2363752.0,60.791011648155944
La-Z-Boy Inc.,LZB,Consumer Cyclical,37.725,37.66,37.39,0.896,1.298,13.330388,1582548608.0,41.08,27.92,0.0214,451540.0,65.68643532060877
Macy's Inc,M,Consumer Cyclical,18.83,18.96,18.87,-0.212,2.213,627.6667,5204819456.0,22.1,10.54,0.0368,4888849.0,64.40870469244106
Mastercard Inc.,MA,Financial Services,433.585,434.61,444.7,-2.499,1.09,34.43884,403067109376.0,490.0,359.77,0.0058999998,2476331.0,22.078143483245128
Mid-America Apartment Communities,MAA,Real Estate,140.045,139.73,139.11,0.672,0.846,29.359539,16799657984.0,158.46,115.56,0.0423,647704.0,58.112453993274656
Macerich Company,MAC,Real Estate,15.22,14.99,14.87,2.354,2.496,,3441516032.0,17.69,9.21,0.045700002,1931555.0,66.23998117374833
Main Street Capital Corp.,MAIN,Financial Services,52.02,51.34,51.28,1.443,1.288,9.47541,4458925568.0,52.38,37.7,0.080699995,356391.0,72.53196339575723
Manpower Inc,MAN,Industrials,66.91,66.5,66.26,0.981,1.443,63.12265,3191827968.0,88.91,66.03,0.0465,411970.0,63.56081820180556
Manchester United Ltd.,MANU,Communication Services,16.83,15.88,15.94,5.583,0.688,,2847972608.0,24.6,13.5,,443500.0,65.08733043283266
Marriot International,MAR,Consumer Cyclical,242.52,237.96,237.52,2.105,1.601,25.027864,69269053440.0,260.57,180.75,0.0106,1488104.0,75.7184502481312
Masco Corp.,MAS,Industrials,66.145,65.69,65.62,0.8,1.244,16.21201,14568038400.0,78.94,47.66,0.0177,1763478.0,71.29574981197703
Matson Inc,MATX,Industrials,122.51,122.8,121.89,0.509,1.095,14.549881,4185946368.0,133.53,77.81,0.0112,253639.0,56.35841421532934
Pioneer Muni High Income Advantage Trust,MAV,Financial Services,8.265,8.29,8.26,0.061,0.64,51.656254,197652528.0,8.44,6.37,0.047199998,55763.0,70.78849201279084
Mbia,MBI,Financial Services,5.195,5.55,5.54,-6.227,1.227,,266381424.0,14.37,5.02,,365404.0,58.62145558973186
Mcdonald's Corp.,MCD,Consumer Cyclical,250.44,247.0,245.82,1.879,0.709,21.277824,180487602176.0,302.39,243.53,0.0272,3622868.0,46.58150909518196
Massmutual Corporate Investors,MCI,Financial Services,18.6033,18.62,18.75,-0.782,0.685,10.221593,377620960.0,19.24,14.36,0.0832,28149.0,67.56828864153233
Mckesson Corp.,MCK,Healthcare,586.66,586.81,586.81,-0.026,0.45,26.166815,76096249856.0,612.17,395.3,0.0042,695822.0,26.103490836653577
Madison/Claymore Covered Call & Equity,MCN,Financial Services,7.1501,7.13,7.13,0.282,0.823,9.794658,150688368.0,7.93,6.69,0.101,40239.0,57.98933789536058
Moody's Corp.,MCO,Financial Services,437.1,436.84,435.95,0.264,1.28,47.770496,79818391552.0,437.31,298.86,0.0078,691445.0,90.42531498462176
Mfs Charter Income Trust,MCR,Financial Services,6.35,6.34,6.3497,0.005,0.685,16.710526,268937728.0,6.7,5.63,0.085,58481.0,84.60860089659295
Marcus Corp.,MCS,Communication Services,10.689,10.52,10.55,1.318,1.512,27.407694,343704800.0,16.75,9.56,0.026500002,892196.0,64.15001848827372
Mercury General Corp.,MCY,Financial Services,52.65,52.52,52.25,0.766,0.839,13.534704,2915288576.0,59.89,27.27,0.024300002,231459.0,50.00324133037758
Mednax Inc,MD,Healthcare,6.79,6.74,6.77,0.295,1.563,,571359488.0,15.02,6.62,,1327401.0,62.05121674731515
Medtronic,MDT,Healthcare,77.06,76.84,76.88,0.234,0.831,27.92029,98811715584.0,91.0,68.84,0.0364,6287140.0,38.0716017535884
Mdu Res Group Inc,MDU,Industrials,24.9,24.65,24.53,1.508,0.68,10.204918,5076811264.0,25.99,18.04,0.020399999,1167600.0,63.0627585575282
Medifast Inc,MED,Consumer Cyclical,18.75,18.59,18.41,1.847,1.182,3.0290792,205072496.0,109.52,17.89,0.35849997,592668.0,25.14845159231035
Media General,MEG,Industrials,37.05,38.22,37.96,-2.397,1.883,,1262708480.0,49.97,21.96,,324188.0,52.93531718519942
Methode Electronics,MEI,Technology,9.45,9.22,9.14,3.392,0.713,,334440224.0,34.04,8.54,0.061300002,635677.0,51.454684563999436
Metlife,MET,Financial Services,71.62,70.22,69.92,2.431,1.047,24.782007,50930630656.0,74.68,57.7,0.0312,3089537.0,63.8390213542044
Mfa Financial Inc,MFA,Real Estate,10.88,10.69,10.64,2.256,2.188,,1110652160.0,11.9,8.41,0.13159999,584408.0,84.19747077395533
Manulife Financial Corp,MFC,Financial Services,27.17,27.04,26.94,0.854,1.08,15.888888,48651145216.0,27.27,17.07,0.0433,2616668.0,68.53588259412862
Macquarie/First Trust Global,MFD,Financial Services,7.7,7.67,7.63,0.917,0.93,55.0,65815288.0,8.18,6.63,0.10479999,18181.0,72.63575537120704
Mizuho Financial Group,MFG,Financial Services,4.335,4.32,4.29,1.049,0.454,13.136363,54935719936.0,4.4,3.09,0.0322,858695.0,72.17875117710281
Mfs Muni Income Trust,MFM,Financial Services,5.36,5.39,5.35,0.187,0.55,31.529411,220765536.0,5.48,4.37,0.0428,72893.0,59.48187571935088
Mistras Group Inc,MG,Industrials,8.275,8.2,8.08,2.413,1.717,,256251920.0,9.85,4.96,,58600.0,66.25194573839468
Magna International,MGA,Consumer Cyclical,43.6,42.63,42.75,1.988,1.62,12.3512745,12535785472.0,65.27,40.83,0.0444,1895286.0,69.38392427969512
Mfs Government Markets Income Trust,MGF,Financial Services,3.152,3.131,3.14,0.382,0.303,157.6,102724312.0,3.29,2.91,0.0764,80491.0,84.87070471766714
Mgm Resorts International,MGM,Consumer Cyclical,43.91,43.99,43.74,0.389,2.248,16.759542,13773688832.0,51.35,34.12,,3623363.0,55.52915660277856
Blackrock Muniholdings Fund,MHD,Financial Services,12.06,12.14,12.07,-0.083,0.546,38.90323,628827712.0,12.18,9.92,0.052199997,89844.0,49.01049420940597
Western Asset Muni High,MHF,Financial Services,6.8556,6.87,6.84,0.228,0.414,24.484285,148431968.0,7.17,5.92,0.0596,67622.0,67.47564302558305
Pioneer Muni High Income Trust,MHI,Financial Services,9.12,9.14,9.1,0.22,,228.0,207675168.0,9.25,6.93,0.0462,47554.0,56.86501111165942
Mohawk Industries,MHK,Consumer Cyclical,112.94,110.95,109.98,2.691,1.384,,7212698624.0,131.19,76.02,,648768.0,63.816878414238836
Blackrock Muniholdings New York Quality,MHN,Financial Services,10.78,10.79,10.77,0.093,0.564,34.774193,326004448.0,10.87,8.69,0.048499998,41006.0,66.48368110652417
M/I Homes,MHO,Consumer Cyclical,122.34,119.9,118.99,2.815,2.23,7.051296,3395142912.0,140.73,74.79,,244991.0,74.2063615420812
Mfs Intermediate Income Trust,MIN,Financial Services,2.695,2.68,2.69,0.186,0.293,134.75,307262336.0,2.85,2.52,0.090500005,217208.0,72.678338103915
Ag Mortgage Investment Trust,MITT,Real Estate,6.87,6.69,6.67,2.999,2.076,3.7135134,202484320.0,6.99,4.82,0.0705,250104.0,69.78795619200984
Blackrock Muniyield Michigan Quality,MIY,Financial Services,11.55,11.55,11.53,0.173,0.42,25.666668,334543456.0,11.7,9.45,0.0484,47478.0,80.53411515087231
Mccormick & Company Inc.,MKC,Consumer Defensive,71.32,70.42,70.07,1.784,0.746,26.029198,19170031616.0,90.45,59.13,0.024,1830293.0,57.17940356376888
Markel Corp.,MKL,Financial Services,1561.69,1551.96,1552.84,0.57,0.729,8.437006,20306030592.0,1670.24,1295.65,,41227.0,53.6259029466379
Mueller Industries,MLI,Industrials,57.32,56.07,55.73,2.853,1.064,11.533199,6511379968.0,60.31,34.96,0.014400001,684406.0,78.72968677413861
Martin Marietta Materials,MLM,Basic Materials,545.355,533.62,530.67,2.767,0.912,16.030422,33615790080.0,626.67,389.9,0.0056,454388.0,70.18917528354976
Maui Land & Pineapple Company,MLP,Real Estate,21.295,21.6,21.39,-0.444,0.47,,419292160.0,23.49,11.58,,18642.0,71.47904054322328
Miller Industries,MLR,Consumer Cyclical,55.52,54.5,54.08,2.663,0.978,9.689354,636814400.0,61.87,34.6,0.014099999,73118.0,65.36290615766023
Marsh & Mclennan Companies,MMC,Financial Services,214.85,212.01,211.8,1.44,0.932,27.265228,105861750784.0,216.89,184.02,0.0134000005,1678829.0,65.93278155066696
Mainstay Defined Muni Opp Fund,MMD,Financial Services,16.53,16.52,16.5201,0.06,0.526,23.281693,461630016.0,17.19,14.3,0.0436,52986.0,60.73539448506398
3M Company,MMM,Industrials,101.72,99.81,99.69,2.036,1.001,,56287883264.0,106.04,71.36288,0.028099999,4545088.0,49.725700331849424
Maximus,MMS,Industrials,85.29,84.56,84.08,1.439,0.748,22.385828,5185205760.0,90.65,72.39,0.0143,317609.0,76.89915475986778
Mfs Multimarket Income Trust,MMT,Financial Services,4.71,4.71,4.71,0.0,0.684,13.8529415,261043280.0,4.75,4.04,0.0842,71760.0,67.26340815541516
Western Asset Managed Municipals Fund,MMU,Financial Services,10.415,10.38,10.35,0.628,0.468,23.670454,570406656.0,10.455,8.6,0.063200004,134800.0,78.289412456306
Monmouth Real Estate Investment Corp.,MNR,Energy,19.58,19.7,19.61,-0.153,,,1860099968.0,21.19,14.4,0.153,121367.0,35.95368161092634
Altria Group,MO,Consumer Defensive,46.9299,46.87,46.7,0.492,0.69,9.81797,80608206848.0,47.21,39.07,0.083900005,10244662.0,41.408085376377144
Modine Manufacturing Company,MOD,Consumer Cyclical,104.79,106.15,106.1,-1.235,2.275,34.58416,5490440704.0,110.0,33.8,,855200.0,79.72412497403138
Molina Healthcare Inc,MOH,Healthcare,286.715,287.16,287.3,-0.204,0.579,15.565417,16796854272.0,423.92,284.34,,495727.0,11.202118135860701
Mosaic Company,MOS,Basic Materials,26.83,27.0,26.91,-0.297,1.416,11.368645,8622973952.0,42.81,26.54,0.0312,4422057.0,27.502642328390806
Movado Group Inc.,MOV,Consumer Cyclical,24.53,24.52,24.46,0.286,1.066,13.703911,544806400.0,31.44,23.93,0.0572,137770.0,25.141162807500933
Blackrock Muniyield Pennsylvania Quality,MPA,Financial Services,12.6,12.71,12.55,0.398,0.473,54.782608,163164960.0,12.82,9.87,0.0631,28232.0,20.331307114366183
Marathon Petroleum Corporation,MPC,Energy,162.19,162.01,162.92,-0.448,1.394,8.061133,57144401920.0,221.11,117.28,0.020299999,2466963.0,12.07577734229929
Mplx Lp,MPLX,Energy,41.83,42.06,42.11,-0.665,1.345,10.808786,42760302592.0,43.07,34.24,0.080699995,1950267.0,50.09883099878475
Massmutual Participation Investors,MPV,Financial Services,16.96,16.5,16.53,2.601,0.586,9.918128,180155888.0,16.97,12.8,0.0871,17081.0,75.02758426871779
Medical Properties Trust,MPW,Real Estate,4.395,4.28,4.26,3.169,1.302,,2637439232.0,10.74,2.92,0.1408,16456745.0,31.795400131204033
Marine Products Corp.,MPX,Consumer Cyclical,9.04,9.12,8.99,0.556,1.212,9.04,313533408.0,17.81,8.96,0.0623,48101.0,42.060226118403094
Blackrock Muniyield Quality Fund II,MQT,Financial Services,10.2796,10.25,10.2448,0.34,0.533,38.07259,227741456.0,10.67,8.59,0.0574,50532.0,71.10834980152701
Blackrock Muniyield Quality Fund,MQY,Financial Services,12.265,12.32,12.27,-0.041,0.501,29.914635,881039104.0,12.52,9.82,0.056700002,130640.0,41.16555485155286
Mrc Global Inc.,MRC,Energy,12.66,12.52,12.45,1.687,2.011,14.5517235,1077006464.0,14.02,8.15,,605014.0,57.78228715544291
Marin Sotfware Incorporated,MRIN,Technology,2.56,2.1997,2.24,14.286,0.499,,7952281.0,5.46,1.44,,427915.0,58.60759908261979
Merck & Company,MRK,Healthcare,127.275,125.88,126.04,0.98,0.389,143.00562,322363392000.0,134.63,99.14,0.024400001,8410500.0,32.42661004172976
Marathon Oil Corp.,MRO,Energy,28.17,27.81,27.89,1.004,2.194,11.640495,15762185216.0,30.06,21.81,0.015800001,9341595.0,32.9772255598709
Morgan Stanley,MS,Financial Services,103.465,102.51,102.61,0.833,1.368,18.811817,168147173376.0,103.51,69.42,0.033099998,6414955.0,79.44421334287037
Mine Safety Appliances Company,MSA,Industrials,187.385,186.55,185.87,0.815,0.989,27.637903,7379633152.0,196.02,147.35,0.011,163318.0,85.02802250086441
Mesabi Trust,MSB,Basic Materials,17.275,17.07,17.07,1.201,0.848,10.533537,226648000.0,22.39,16.08,0.0586,20672.0,59.77389470349225
MSCI Inc,MSCI,Financial Services,488.9,489.75,489.07,-0.035,1.097,33.44049,38732709888.0,617.39,439.95,0.013099999,734996.0,64.73624716278908
Morgan Stanley Emerging Markets Debt,MSD,Financial Services,7.48,7.49,7.47,0.134,0.627,8.8,151023440.0,7.55,6.11,0.112799995,70413.0,72.26680334443692
Motorola Solutions,MSI,Technology,390.97,392.52,390.72,0.064,0.95,48.327564,65208717312.0,392.52,269.65,0.01,707619.0,79.97122058987298
Msc Industrial Direct Company,MSM,Industrials,76.035,75.71,75.8,0.31,0.829,14.792803,4267312384.0,105.77,75.05,0.0438,593642.0,56.56939402310687
Arcelormittal,MT,Basic Materials,22.58,22.53,22.35,1.029,1.775,23.278349,18367700992.0,29.15,21.3,0.0224,1642686.0,25.81559792351399
M&T Bank Corp.,MTB,Financial Services,152.405,149.46,149.8,1.739,0.764,10.297635,25429383168.0,156.65,108.53,0.036,856570.0,77.11300799581602
Mettler-Toledo International,MTD,Healthcare,1323.06,1318.0,1308.0,1.151,1.167,37.05013,28257122304.0,1535.86,928.5,,148522.0,45.49084658508665
Matador Resources Company,MTDR,Energy,60.08,58.52,58.54,2.631,3.299,8.230137,7496782848.0,71.08,51.72,0.0137,1696614.0,48.71281261793569
