Company,Ticker,Sector,Current Close,Open,Previous Close,Price Change (%),Beta,P/E Ratio,Market Cap,52-Week High,52-Week Low,Dividend Yield,Average Volume,RSI Score
Ihs Inc.,IHS,Communication Services,2.9,2.94,2.94,-1.361,1.1,,965914560.0,10.0,2.18,,320375.0,14.03676036181703
Morgan Stanley India Investment Fund Inc,IIF,Financial Services,27.06,27.11,27.03,0.111,0.836,5.511202,269162304.0,27.17,20.89,0.1172,31632.0,96.5697180857276
Invesco Insured Muni Income Trust,IIM,Financial Services,12.42,12.45,12.425,-0.04,0.629,12.545454,584589504.0,12.5,9.94,0.074499995,147381.0,83.97348220513422
Imax Corp.,IMAX,Communication Services,16.6,17.04,17.02,-2.468,1.259,34.583336,873573376.0,20.7,13.2,,777563.0,59.39877780649002
Infosys Limited,INFY,Technology,19.3,19.58,19.5,-1.026,0.588,25.394735,81589592064.0,20.74,15.33,0.028299998,10051091.0,68.70385191055827
ING Group N.V.,ING,Financial Services,17.89,17.82,17.92,-0.167,1.605,7.951111,57953218560.0,18.07,12.45,0.067,2386986.0,39.83696551241197
Ingredion Inc,INGR,Consumer Defensive,111.98,112.64,112.89,-0.806,0.721,11.220442,7351207424.0,122.18,89.54,0.0276,396839.0,28.893537510960712
Summit Hotel Properties,INN,Real Estate,5.67,5.76,5.79,-2.073,2.033,,613448640.0,6.98,5.31,0.0553,634177.0,26.825091516476306
International Paper Company,IP,Consumer Cyclical,42.55,43.0,43.17,-1.436,1.026,80.28302,14778976256.0,47.4,30.78,0.0429,7228567.0,41.818872290753724
Interpublic Group Of Companies,IPG,Communication Services,28.51,28.41,28.38,0.458,1.107,10.145907,10760357888.0,40.91,27.2,0.0465,3687540.0,26.71682538600875
Intrepid Potash Inc,IPI,Basic Materials,22.47,22.79,22.92,-1.963,2.232,,298156672.0,28.3,17.52,,97162.0,17.822728186684984
Invesco Quality Muni Income Trust,IQI,Financial Services,10.07,10.12,10.1,-0.297,0.604,11.988095,532539840.0,10.16,8.05,0.075,128639.0,64.97746175518753
Ingersoll-Rand Plc [Ireland],IR,Industrials,91.73,92.32,92.11,-0.413,1.451,45.636818,37026357248.0,96.67,59.2,0.00090000004,2772086.0,54.2003160764982
Iron Mountain Inc.,IRM,Real Estate,93.13,92.88,92.87,0.28,1.004,141.10605,27299475456.0,93.82,56.51,0.027999999,1721719.0,91.78099796950922
Irsa Inversiones Y Representaciones S.A.,IRS,Real Estate,8.69,8.64,8.59,1.164,1.225,,1022256768.0,11.67,5.88,0.1892,150011.0,27.430060160506528
Prudential Short Duration High,ISD,Financial Services,13.15,13.05,13.07,0.612,,15.654762,437325600.0,13.17,10.98,0.112799995,115272.0,79.44022730154231
Gartner,IT,Technology,448.09,449.77,449.14,-0.234,1.334,44.541748,34785447936.0,486.54,323.61,,430634.0,45.5055329691301
Itt Industries,ITT,Industrials,125.97,126.96,126.89,-0.725,1.418,24.651663,10362317824.0,140.2,91.94,0.0101,411854.0,38.66137194498247
Itau Unibanco Banco Holding Sa,ITUB,Financial Services,6.11,6.0,5.98,2.174,0.573,9.257576,59831869440.0,7.27,5.12,0.0297,18723570.0,71.55522890036832
Illinois Tool Works Inc.,ITW,Industrials,234.06,232.97,233.91,0.064,1.114,23.060099,69843501056.0,271.15,217.5,0.0239,1100208.0,34.16548371941096
Invesco Mortgage Capital Inc,IVR,Real Estate,8.93,8.87,8.92,0.112,1.847,,436012608.0,12.37,6.34,0.17940001,889755.0,34.76221611159728
Invesco Plc,IVZ,Financial Services,15.23,14.93,14.96,1.805,1.455,,6850926080.0,18.71,12.48,0.0548,4135601.0,39.14560998184293
Orix Corp Ads,IX,Financial Services,112.72,113.52,114.0,-1.123,0.907,12.159655,25888288768.0,115.37,86.05,0.028800001,13654.0,47.92024936665824
Lehman Abs Cp 7.857%,JBI,Industrials,12.23,12.17,12.12,0.908,0.908,12.873684,1785310848.0,15.86,9.165,,1885952.0,30.767348919871026
Jabil Circuit,JBL,Technology,110.01,110.15,110.02,-0.009,1.267,9.9827585,13266876416.0,156.94,100.18,0.0029,1627283.0,46.54236114394076
John Bean Technologies Corp.,JBT,Industrials,88.78,91.35,91.5,-2.973,1.268,21.138096,2826746368.0,123.82,88.03,0.0044,301545.0,38.84713837663166
Nuveen Core Equity Alpha Fund,JCE,Financial Services,15.0,14.94,14.82,1.215,,5.952381,241424992.0,15.09,11.64,0.1047,39311.0,64.28303317569679
Johnson Controls,JCI,Industrials,67.14,67.6,67.23,-0.134,1.295,27.182186,45230608384.0,74.23,47.9,0.022,5086493.0,35.540190019767806
Japan Equity Fund,JEQ,Financial Services,6.02,5.97,5.95,1.176,,13.086956,83366768.0,6.39,4.99,0.080699995,32568.0,42.75758030963336
Nuveen Floating Rate,JFR,Financial Services,8.82,8.84,8.82,0.0,0.57,9.692307,1182373888.0,8.87,7.61,0.115600005,523375.0,62.54679730764733
John Hancock Investors Trust,JHI,Financial Services,13.32,13.28,13.285,0.263,0.916,9.249999,116477400.0,13.85,11.63,0.0675,17878.0,63.76730673311076
John Hancock Income Securities Trust,JHS,Financial Services,11.0,11.01,11.01,-0.091,0.458,550.0,128112600.0,11.6,9.76,0.04,22513.0,77.02443366517006
James Hardie Industries Se,JHX,Basic Materials,31.27,31.38,31.79,-1.636,1.081,26.956898,13490316288.0,41.98,24.28,,73726.0,37.76517100128979
Jinkosolar Holding Company Limited,JKS,Technology,21.67,21.29,21.12,2.604,0.361,3.069405,1103540480.0,46.47,19.93,0.071,871303.0,45.517946162886474
Jones Lang Lasalle Inc.,JLL,Real Estate,206.04,202.79,203.73,1.134,1.384,33.07223,9799364608.0,213.33,119.46,,267172.0,43.52693898806768
Nuveen Mortgage Opportunity Term Fund,JLS,Financial Services,18.13,18.24,18.16,-0.165,,12.167785,99291296.0,18.3,15.48,0.1092,16539.0,61.230453581368515
Johnson & Johnson,JNJ,Healthcare,147.05,145.67,145.48,1.079,0.517,21.817509,353902297088.0,175.97,143.13,0.0341,7582131.0,45.655035549876786
Juniper Networks,JNPR,Technology,36.92,36.9,36.93,-0.027,0.946,53.507244,11998556160.0,38.04,24.87,0.0238,2442270.0,75.79026499963709
St. Joe Company,JOE,Real Estate,52.59,53.08,53.31,-1.351,1.271,37.834534,3071124480.0,65.99,45.93,0.009,176365.0,29.307733490424525
Japan Smaller Capitalization Fund Inc,JOF,Financial Services,7.57,7.55,7.55,0.265,0.568,4.587879,214487632.0,8.06,6.64,0.0352,49663.0,27.901736871415608
Nuveen Preferred And Convertible,JPC,Financial Services,7.52,7.55,7.52,0.0,0.908,250.66667,2402519552.0,7.57,5.94,0.10609999,792972.0,72.83166693947643
Nuveen Preferred And Income Term Fund,JPI,Financial Services,19.58,19.57,19.55,0.153,,,445883584.0,19.68,16.25,0.070700005,48270.0,58.133247043457935
J P Morgan Chase & Co,JPM,Financial Services,207.63,205.63,205.17,1.199,1.112,12.52292,596244889600.0,210.38,135.19,0.0224,9525673.0,36.042314226544136
Nuveen Preferred And Convertible 2,JQC,Financial Services,5.67,5.74,5.72,-0.874,0.584,9.947369,768902976.0,5.75,4.82,0.113299996,526321.0,66.45463556687409
Nuveen Real Asset Income And Gr,JRI,Financial Services,12.21,12.46,12.43,-1.77,,10.174999,334757920.0,12.49,9.7,0.104399994,99706.0,55.5041359544922
Nordstrom,JWN,Consumer Cyclical,22.02,21.33,21.27,3.526,2.627,11.902702,3603550976.0,23.54,12.88,0.0357,2662477.0,51.67017999536909
Kellogg Company,K,Consumer Defensive,56.37,56.21,56.19,0.32,0.353,23.885593,19272001536.0,64.06573,47.63,0.0399,2491296.0,55.1809194724925
Kadant Inc,KAI,Industrials,301.59,299.55,299.68,0.637,1.238,31.448383,3541541120.0,354.02,196.99,0.0043,84260.0,63.430253476187815
Kar Auction Services Inc,KAR,Consumer Cyclical,16.65,16.73,16.8,-0.893,1.445,,1803228288.0,18.41,12.86,,765755.0,39.091778834553885
Kb Financial Group Inc,KB,Financial Services,61.28,61.31,62.11,-1.336,0.687,8.303523,23653220352.0,63.31,36.54,0.0398,184644.0,59.852180975524185
Kb Home,KBH,Consumer Cyclical,65.35,66.15,66.56,-1.818,1.799,8.644179,4914568192.0,74.66,42.11,0.015,1277340.0,23.652781209751694
Kbr,KBR,Industrials,62.54,63.38,63.48,-1.481,0.909,,8397621248.0,68.68,49.37,0.0095,1047896.0,29.74206401243208
Korea Electric Power Corp.,KEP,Utilities,7.28,7.25,7.26,0.275,0.789,18.666668,9347010560.0,9.55,5.93,,109485.0,57.70132587800375
Kirby Corp.,KEX,Industrials,118.62,119.5,120.37,-1.454,1.182,28.109007,6915546112.0,124.92,72.11,,500721.0,27.48166934537315
Keycorp,KEY,Financial Services,14.29,13.98,14.03,1.853,1.25,18.320513,13473469440.0,15.86,9.5,0.0584,13064504.0,43.27507271202895
Korea Fund,KF,Financial Services,25.78,25.82,25.89,-0.425,1.176,7.2011175,125759224.0,25.94,18.3,,9180.0,83.44782292560554
Kingsway Financial Services,KFS,Consumer Cyclical,8.04,8.1,8.14,-1.229,-0.083,,224488864.0,9.48,6.25,,66050.0,56.278430912087764
Korn/Ferry International,KFY,Industrials,64.65,66.15,66.43,-2.68,1.544,20.01548,3349387264.0,70.78,44.45,0.0182,351922.0,51.510005504588776
Kinross Gold Corp.,KGC,Basic Materials,8.59,8.61,8.58,0.117,1.224,23.86111,10562093056.0,8.65,4.32,0.0139999995,16585375.0,71.30499220614315
Kimco Realty Corp.,KIM,Real Estate,19.24,19.22,19.26,-0.104,1.495,36.301888,12969991168.0,22.84,16.34,0.0498,4128091.0,38.76514213270002
Kkr Income Opportunities Fund,KIO,Financial Services,13.89,13.8,13.77,0.871,,5.716049,376702368.0,13.94,11.02,0.1296,110055.0,72.1746536747323
Kkr,KKR,Financial Services,105.58,105.2,105.07,0.485,1.622,23.619688,97341595648.0,113.91,53.72,0.0067000003,6957045.0,59.81790388950081
Kimberly-Clark Corp.,KMB,Consumer Defensive,139.43,139.09,139.28,0.108,0.388,25.583487,46947332096.0,142.2,116.32,0.035,2167470.0,63.07853221383252
Kinder Morgan,KMI,Energy,19.99,19.85,19.91,0.402,0.919,18.339449,44365406208.0,20.19,15.89,0.057800002,13202396.0,55.28829321576114
Unitrin,KMPR,Financial Services,60.3,59.22,58.74,2.656,0.884,,3881836544.0,64.69,38.32,0.0211,347618.0,40.62963958639728
Kennametal Inc.,KMT,Industrials,22.54,22.85,22.95,-1.786,1.662,16.696297,1773129600.0,30.6,22.08,0.0349,664822.0,41.47418002777122
Carmax Inc,KMX,Consumer Cyclical,72.26,72.7,73.0,-1.014,1.693,28.337255,11278269440.0,88.22,59.66,,2328278.0,60.725037328777304
Knot Offshore Partners Lp Commo,KNOP,Industrials,7.79,7.97,7.95,-2.013,0.712,,272165472.0,9.11,4.86,0.013099999,130985.0,47.823206729625056
Knight Transportation,KNX,Industrials,47.99,48.83,49.33,-2.716,0.94,70.57353,7755712512.0,60.99,45.55,0.012999999,2267618.0,28.863406544857952
Coca-Cola Company,KO,Consumer Defensive,62.69,63.06,62.96,-0.429,0.592,25.176706,270065991680.0,64.36,51.55,0.0308,11947991.0,39.384184503849674
Coca Cola Femsa S.A.B. De C.V.,KOF,Consumer Defensive,83.15,83.5,83.59,-0.526,0.866,89.4086,17468401664.0,104.38,69.33,0.0207,152962.0,36.93119071028167
Koppers Holdings Inc.,KOP,Basic Materials,34.43,35.14,35.29,-2.437,1.848,9.725989,729922880.0,58.23,34.31,0.007900001,165390.0,11.403185858562324
Kosmos Energy Ltd.,KOS,Energy,5.46,5.43,5.47,-0.183,2.428,11.869565,2574657536.0,8.28,5.07,,5844062.0,41.70861453872174
Kroger Company,KR,Consumer Defensive,51.86,51.9,51.94,-0.154,0.444,17.69966,37432082432.0,58.34,42.1,0.024600001,5556203.0,50.463930250892275
Kilroy Realty Corp.,KRC,Real Estate,32.07,31.72,31.74,1.04,1.05,18.431034,3800904192.0,43.37,26.78,0.0681,956808.0,46.13955220652262
Kite Realty Group Trust,KRG,Real Estate,21.76,21.86,21.91,-0.685,1.324,83.692314,4860335104.0,24.26,19.64,0.045100003,1531998.0,35.79655633074343
Kronos Worldwide Inc,KRO,Basic Materials,12.32,12.74,12.74,-3.297,1.164,,1417132544.0,14.5,6.16,0.059699997,188493.0,29.176434881549355
Scudder Strategic Municiple Income Trust,KSM,Financial Services,9.88,9.93,9.88,0.0,0.573,27.444443,109153256.0,9.99,7.25,0.031600002,21681.0,79.83139334103815
Kohl's Corp.,KSS,Consumer Cyclical,22.39,22.32,22.38,0.045,1.978,9.028226,2489902336.0,29.65,17.68,0.08939999,6040975.0,41.957584882274574
Korea Telecom Corp.,KT,Communication Services,13.14,13.14,13.19,-0.379,0.404,8.369427,6460307456.0,15.35,11.19,0.0276,633483.0,44.74185229927062
Scudder Municiple Income Trust,KTF,Financial Services,9.55,9.55,9.55,0.0,0.444,24.48718,374100256.0,9.68,7.4,0.0766,107004.0,70.90347808981541
Kennedy-Wilson Holdings Inc.,KW,Real Estate,9.34,9.54,9.6,-2.708,1.122,,1284511488.0,17.43,7.85,0.05,977349.0,28.39220142951156
Quaker Chemical Corp.,KWR,Basic Materials,166.18,168.35,168.87,-1.593,1.393,25.293758,2989561344.0,221.94,138.67,0.0108,97244.0,37.96860516971935
Kayne Anderson MLP Investment Company,KYN,Financial Services,10.53,10.6,10.6,-0.66,1.64,14.830986,1780896768.0,11.1,7.87,0.083000004,461588.0,42.133746600142835
Loews Corp.,L,Financial Services,74.66,74.31,74.41,0.336,0.836,11.093611,16530172928.0,78.55,59.37,0.0034,756757.0,27.86449895070568
Lithia Motors,LAD,Consumer Cyclical,243.05,247.48,248.77,-2.299,1.633,7.1738486,6661149696.0,331.96,231.36,0.0085,282985.0,24.410811733238276
Lazard Ltd,LAZ,Financial Services,39.91,39.44,39.82,0.226,1.393,,3600061440.0,42.24,25.82,0.0502,866421.0,55.92195783749759
Lear Corp.,LEA,Consumer Cyclical,114.16,113.43,113.88,0.246,1.475,12.449291,6482895360.0,157.91,112.26,0.027,781293.0,15.818904382695138
Lee Enterprises Inc.,LEE,Communication Services,10.97,10.86,10.75,2.047,1.255,,67390032.0,15.89,7.56,,12467.0,33.47788712874912
Leggett & Platt Inc.,LEG,Consumer Cyclical,10.67,10.9,10.99,-2.912,1.1,,1430164096.0,31.14,10.11,0.0182,3878790.0,16.688120862928642
Lennar Corp.,LEN,Consumer Cyclical,142.5,143.3,142.63,-0.091,1.595,9.707085,38846779392.0,172.59,102.9,0.0139999995,2111060.0,12.764462655372867
Dreyfus Strategic Municipals,LEO,Financial Services,6.14,6.15,6.16,-0.325,0.572,19.1875,382466112.0,6.22,4.98,0.037,184088.0,65.23121504548735
Lazard Global Total Return And,LGI,Financial Services,16.86,16.92,16.89,-0.178,1.139,5.546053,219397504.0,17.06,12.66,0.0743,39403.0,22.354071637166797
Laboratory Corporation Of America,LH,Healthcare,199.35,201.7,202.96,-1.779,1.033,42.505333,16803930112.0,234.09,191.97,0.014199999,732055.0,56.13920401715738
Lennox International,LII,Industrials,535.61,541.79,543.18,-1.394,1.076,31.013895,19080837120.0,553.48,326.15,0.0085,308829.0,49.75511252818252
Lin Media Llc,LIN,Basic Materials,431.2,434.2,435.74,-1.042,0.944,33.426357,207284748288.0,477.71,361.02,0.0128,1743286.0,59.29982665645015
Lightinthebox Holding Co. Ltd,LITB,Consumer Cyclical,0.8249,0.8015,0.832,-0.853,0.949,,91702480.0,1.47,0.43,,98927.0,45.23815336623824
Lumber Liquidators Holdings Inc,LL,Consumer Cyclical,0.56,0.575,0.57,-1.754,1.73,,17167248.0,4.85,0.53,,377295.0,11.505564303542428
Eli Lilly And Company,LLY,Healthcare,932.5,929.05,918.0,1.58,0.409,137.33432,839627636736.0,935.0,434.34,0.0057,2705006.0,75.4386128588647
Lockheed Martin Corp.,LMT,Industrials,460.3,461.7,461.76,-0.316,0.455,16.836138,109522862080.0,479.5,393.77,0.0273,996919.0,18.138763669400447
Lincoln National Corp.,LNC,Financial Services,30.79,30.48,30.75,0.13,1.834,4.1720867,5235131904.0,33.33,20.85,0.0585,1569278.0,17.81429650994008
Brasilagro Brazi ADR,LND,Consumer Defensive,4.91,4.89,4.88,0.615,0.449,11.159091,494073632.0,6.0,4.54,0.1341,38216.0,73.5677014204281
Lindsay Corp.,LNN,Industrials,109.3,112.57,113.28,-3.513,0.614,16.610943,1189850752.0,137.31,106.46,0.0127,121988.0,48.82517560363741
Alliant Energy Corp.,LNT,Utilities,51.67,51.48,51.39,0.545,0.555,18.789091,13247102976.0,56.26,45.15,0.0374,1514908.0,66.76837460680984
Lowe's Companies,LOW,Consumer Cyclical,216.33,215.97,217.15,-0.378,1.067,17.320257,123272404992.0,262.49,181.85,0.0212,2492388.0,45.788131491243135
Lg Display Co. Limited American,LPL,Technology,4.64,4.59,4.51,2.882,1.088,,4645707264.0,6.08,3.45,,371416.0,75.95081710770653
Louisiana-Pacific Corp.,LPX,Industrials,80.06,80.5,80.79,-0.904,1.889,21.934246,5738043904.0,95.7,49.47,0.0128999995,1050660.0,39.6862670810783
Lrr Energy L.P.,LRE,Real Estate,1.68,1.7,1.75,-4.0,,8.0,22918392.0,13.76,1.6,,102980.0,30.051299833680005
K12 Inc,LRN,Consumer Defensive,66.34,67.47,67.57,-1.82,0.287,15.536299,2869529856.0,73.33,36.35,,657968.0,22.678868822647516
Ltc Properties,LTC,Real Estate,34.07,34.32,34.31,-0.7,0.892,17.744791,1481206912.0,35.72,30.3,0.0665,250385.0,52.83984950268581
Southwest Airlines Company,LUV,Industrials,27.47,27.35,27.35,0.439,1.148,42.921875,16439585792.0,39.53,21.91,0.026300002,10049762.0,14.813323391534993
Las Vegas Sands,LVS,Consumer Cyclical,41.62,41.52,41.45,0.41,1.125,20.10628,31008854016.0,61.25,41.2,0.019299999,6503924.0,22.602545039459315
Luxfer Holdings Plc,LXFR,Industrials,11.58,11.52,11.55,0.26,0.936,,317458752.0,14.24,7.55,0.045,126055.0,36.13526829835913
Lexington Realty Trust,LXP,Real Estate,9.23,9.23,9.27,-0.431,0.878,230.75,2724151296.0,10.75,7.75,0.0561,2361668.0,70.40312145098241
Lsb Industries Inc.,LXU,Basic Materials,7.49,7.7,7.75,-3.355,0.86,31.208334,535862272.0,11.69,6.74,,357173.0,13.332455097894155
Lyondellbasell Industries Nv,LYB,Basic Materials,93.2,93.98,94.45,-1.323,1.098,14.382715,30347970560.0,107.02,88.46,0.056700002,1668739.0,52.60844834547247
Lloyds Banking Group Plc,LYG,Financial Services,2.94,2.93,2.99,-1.672,1.249,8.166666,45842833408.0,3.02,1.88,0.0466,9433214.0,48.229461176444524
Live Nation Entertainment,LYV,Communication Services,95.12,94.36,94.47,0.688,1.343,87.26605,22014859264.0,107.24,76.48,,2370098.0,63.63628519401842
La-Z-Boy Inc.,LZB,Consumer Cyclical,37.39,37.13,37.51,-0.32,1.298,13.212014,1568495488.0,41.08,27.92,0.021300001,448180.0,60.17839085702696
Macy's Inc,M,Consumer Cyclical,18.87,18.96,18.93,-0.317,2.213,629.00006,5215876096.0,22.1,10.54,0.0367,4936993.0,54.12986038266968
Mastercard Inc.,MA,Financial Services,444.7,446.65,445.58,-0.197,1.09,35.349762,413399777280.0,490.0,359.77,0.0058999998,2494386.0,44.02336059952407
Mid-America Apartment Communities,MAA,Real Estate,139.11,139.52,139.14,-0.022,0.846,29.163523,16687496192.0,158.46,115.56,0.0423,648477.0,32.47749659208249
Macerich Company,MAC,Real Estate,14.87,14.74,14.85,0.135,2.496,,3362374656.0,17.69,9.21,0.0458,1951342.0,44.63239992005938
Main Street Capital Corp.,MAIN,Financial Services,51.28,51.85,52.04,-1.46,1.288,9.340619,4395495936.0,52.38,37.7,0.0796,356039.0,69.8728212795886
Manpower Inc,MAN,Industrials,66.26,70.23,70.54,-6.067,1.443,62.509438,3160820736.0,88.91,66.03,0.0437,404788.0,40.2090222284319
Manchester United Ltd.,MANU,Communication Services,15.94,15.89,15.83,0.695,0.688,,2697366784.0,24.6,13.5,,437563.0,65.09216333570416
Marriot International,MAR,Consumer Cyclical,237.52,240.86,239.86,-0.976,1.601,24.51187,67840942080.0,260.57,180.75,0.0105,1489126.0,44.144876566511506
Masco Corp.,MAS,Industrials,65.62,65.58,65.79,-0.258,1.244,16.083334,14452411392.0,78.94,47.66,0.0176,1785263.0,43.9116254596467
Matson Inc,MATX,Industrials,121.89,122.41,124.28,-1.923,1.095,14.459074,4164761856.0,133.53,77.09,0.0109,252350.0,28.46286388199573
Pioneer Muni High Income Advantage Trust,MAV,Financial Services,8.26,8.34,8.37,-1.314,0.64,51.625004,197532944.0,8.44,6.37,0.0466,55432.0,63.612243149229634
Mbia,MBI,Financial Services,5.54,5.25,5.26,5.323,1.227,,284071808.0,14.37,5.02,,362814.0,46.2359536066152
Mcdonald's Corp.,MCD,Consumer Cyclical,245.82,247.23,247.85,-0.819,0.709,20.885302,177158045696.0,302.39,243.53,0.027,3604629.0,37.78644973556987
Massmutual Corporate Investors,MCI,Financial Services,18.75,18.61,18.74,0.053,0.685,10.302197,380598752.0,19.24,14.36,0.0832,28368.0,76.53397783551345
Mckesson Corp.,MCK,Healthcare,586.81,591.45,589.53,-0.461,0.45,26.196875,76115714048.0,612.17,395.3,0.0042,694549.0,42.96879166470626
Madison/Claymore Covered Call & Equity,MCN,Financial Services,7.13,7.25,7.24,-1.519,0.823,9.767123,150264752.0,7.93,6.69,0.0994,39939.0,44.59135312875799
Moody's Corp.,MCO,Financial Services,435.95,435.8,432.5,0.798,1.28,47.540894,79608389632.0,437.3,298.86,0.007900001,694993.0,82.97678215928808
Mfs Charter Income Trust,MCR,Financial Services,6.3497,6.33,6.335,0.232,0.685,16.709738,268925024.0,6.7,5.63,0.085200004,59308.0,80.35759210500177
Marcus Corp.,MCS,Communication Services,10.55,10.64,10.64,-0.846,1.512,27.051283,339235264.0,16.75,9.56,0.026300002,886321.0,63.01124410173082
Mercury General Corp.,MCY,Financial Services,52.25,52.62,52.82,-1.079,0.839,13.431876,2893139968.0,59.89,27.27,0.024,233034.0,24.708710028417997
Mednax Inc,MD,Healthcare,6.77,6.83,6.93,-2.309,1.563,,569676544.0,15.02,6.62,,1325032.0,33.34979309534607
Medtronic,MDT,Healthcare,76.88,76.84,76.84,0.052,0.831,27.855072,98580914176.0,91.0,68.84,0.0364,6293145.0,15.615757233745711
Mdu Res Group Inc,MDU,Industrials,24.53,24.49,24.58,-0.203,0.68,10.053279,5001372672.0,25.99,18.04,0.020299999,1172008.0,40.2191606019569
Medifast Inc,MED,Consumer Cyclical,18.41,18.35,18.51,-0.54,1.182,2.9741518,201353856.0,109.52,17.89,0.3566,592539.0,47.125170625819734
Media General,MEG,Industrials,37.96,39.25,39.08,-2.866,1.883,,1293722368.0,49.97,21.96,,322591.0,25.094746474798185
Methode Electronics,MEI,Technology,9.14,9.85,9.83,-7.019,0.713,,323469184.0,34.04,8.54,0.056999996,638700.0,36.69603564208625
Metlife,MET,Financial Services,69.92,69.43,69.41,0.735,1.047,24.19377,49721720832.0,74.68,57.7,0.031400003,3075229.0,25.005696992190806
Mfa Financial Inc,MFA,Real Estate,10.64,10.57,10.59,0.472,2.188,,1086152576.0,11.9,8.41,0.1322,590585.0,29.90332509514488
Manulife Financial Corp,MFC,Financial Services,26.94,26.96,26.99,-0.185,1.08,15.754386,48256544768.0,27.27,17.07,0.0432,2632500.0,39.94339682974453
Macquarie/First Trust Global,MFD,Financial Services,7.63,7.62,7.65,-0.261,0.93,54.5,65216968.0,8.18,6.63,0.1046,18821.0,23.249757047880564
Mizuho Financial Group,MFG,Financial Services,4.29,4.29,4.33,-0.924,0.454,12.999999,54365454336.0,4.4,3.09,0.0319,859216.0,50.1997771440447
Mfs Muni Income Trust,MFM,Financial Services,5.35,5.35,5.34,0.187,0.55,31.470587,220353664.0,5.48,4.37,0.0429,74111.0,58.394789571055384
Mistras Group Inc,MG,Industrials,8.08,8.1,8.06,0.248,1.717,,250213360.0,9.85,4.96,,59481.0,49.105021364297436
Magna International,MGA,Consumer Cyclical,42.75,42.38,42.56,0.446,1.62,12.110481,12283785216.0,65.27,40.83,0.0446,1889190.0,33.639565284211216
Mfs Government Markets Income Trust,MGF,Financial Services,3.14,3.14,3.13,0.319,0.303,157.00002,102333232.0,3.29,2.91,0.0766,80739.0,80.64702874971317
Mgm Resorts International,MGM,Consumer Cyclical,43.74,43.79,43.69,0.114,2.248,16.694658,13720364032.0,51.35,34.12,,3629208.0,64.03951410451981
Blackrock Muniholdings Fund,MHD,Financial Services,12.07,12.09,12.07,0.0,0.546,38.935482,629349120.0,12.18,9.92,0.052199997,88895.0,64.24395394620595
Western Asset Muni High,MHF,Financial Services,6.84,6.81,6.81,0.441,0.414,24.428572,148094208.0,7.17,5.92,0.059899997,68240.0,64.27512447310207
Pioneer Muni High Income Trust,MHI,Financial Services,9.1,9.16,9.14,-0.438,,227.50002,207219744.0,9.25,6.93,0.046,47939.0,46.390468806937626
Mohawk Industries,MHK,Consumer Cyclical,109.98,111.64,111.85,-1.672,1.384,,7023664128.0,131.19,76.02,,649880.0,25.385783068723683
Blackrock Muniholdings New York Quality,MHN,Financial Services,10.77,10.82,10.78,-0.093,0.564,34.741936,325702048.0,10.87,8.69,0.0484,41693.0,65.82210903519484
M/I Homes,MHO,Consumer Cyclical,118.99,118.52,119.17,-0.151,2.23,6.858213,3302174720.0,140.73,74.79,,247162.0,29.58929841871725
Mfs Intermediate Income Trust,MIN,Financial Services,2.69,2.7,2.705,-0.555,0.293,134.5,306692288.0,2.85,2.52,0.09,219962.0,76.67289117920534
Ag Mortgage Investment Trust,MITT,Real Estate,6.67,6.66,6.69,-0.299,2.076,3.6054053,196589584.0,6.99,4.82,0.070300005,250547.0,36.493370653972974
Blackrock Muniyield Michigan Quality,MIY,Financial Services,11.53,11.52,11.511,0.165,0.42,25.622223,333964128.0,11.7,9.45,0.048499998,48050.0,79.35444454103458
Mccormick & Company Inc.,MKC,Consumer Defensive,70.07,69.4,69.44,0.907,0.746,25.572992,18821431296.0,90.45,59.13,0.0242,1825273.0,68.68381006218534
Markel Corp.,MKL,Financial Services,1552.84,1559.5,1550.81,0.131,0.729,8.3860235,20190957568.0,1670.24,1295.65,,41314.0,23.820719242098136
Mueller Industries,MLI,Industrials,55.73,56.35,56.5,-1.363,1.064,11.21328,6330760704.0,60.31,34.96,0.014199999,684860.0,33.6295719946104
Martin Marietta Materials,MLM,Basic Materials,530.67,530.97,529.98,0.13,0.912,15.598764,32710604800.0,626.67,389.9,0.0056,446729.0,26.73530457684032
Maui Land & Pineapple Company,MLP,Real Estate,21.39,21.5933,21.52,-0.604,0.47,,421162656.0,23.49,11.58,,18754.0,58.83301838078917
Miller Industries,MLR,Consumer Cyclical,54.08,54.34,54.57,-0.898,0.978,9.4380455,620297600.0,61.87,34.01,0.0139,73403.0,29.726691930413963
Marsh & Mclennan Companies,MMC,Financial Services,211.8,214.3,214.26,-1.148,0.932,26.878172,104358944768.0,216.89,184.02,0.013300001,1682547.0,53.49193376255593
Mainstay Defined Muni Opp Fund,MMD,Financial Services,16.5201,16.48,16.49,0.183,0.526,23.267746,461353504.0,17.19,14.3,0.0437,53581.0,73.11796791000559
3M Company,MMM,Industrials,99.69,100.85,101.1,-1.395,1.001,,55164563456.0,106.04,71.36288,0.0277,4556322.0,52.9399426519285
Maximus,MMS,Industrials,84.08,84.75,84.71,-0.744,0.748,22.068243,5111643648.0,90.65,72.39,0.014199999,316539.0,45.14351637126595
Mfs Multimarket Income Trust,MMT,Financial Services,4.71,4.7,4.705,0.106,0.684,13.8529415,261043280.0,4.75,4.04,0.084300004,73031.0,52.16421487986305
